Movie,Year,RunTime,imdb,Genre,votes
What We Do in the Shadows,(2014),86 min,7.7,"Comedy, Horror","154,496"
Warrior,(2011),140 min,8.2,"Action, Drama, Sport","431,443"
Der Untergang,(2004),156 min,8.2,"Biography, Drama, History","327,821"
Vertigo,(1958),128 min,8.3,"Mystery, Romance, Thriller","358,906"
As Good as It Gets,(1997),139 min,7.7,"Comedy, Drama, Romance","272,303"
Trainspotting,(1996),93 min,8.1,Drama,"628,446"
The Sixth Sense,(1999),107 min,8.1,"Drama, Mystery, Thriller","902,376"
Tangled,(2010),100 min,7.7,"Animation, Adventure, Comedy","400,433"
Der Name der Rose,(1986),130 min,7.7,"Crime, Drama, Mystery","100,919"
Birdman or (The Unexpected Virtue of Ignorance),(2014),119 min,7.7,"Comedy, Drama","572,696"
Inside Out,(I) (2015),95 min,8.1,"Animation, Adventure, Comedy","601,720"
Wind River,(2017),107 min,7.7,"Crime, Drama, Mystery","198,753"
Argo,(2012),120 min,7.7,"Biography, Drama, Thriller","567,228"
Apocalypto,(2006),139 min,7.8,"Action, Adventure, Drama","288,460"
Brokeback Mountain,(2005),134 min,7.7,"Drama, Romance","319,778"
The Hobbit: The Desolation of Smaug,(2013),161 min,7.8,"Adventure, Fantasy","594,943"
Predator,(1987),107 min,7.8,"Action, Adventure, Sci-Fi","367,721"
The Sound of Music,(1965),172 min,8.0,"Biography, Drama, Family","200,526"
Captain Fantastic,(2016),118 min,7.9,"Comedy, Drama","185,468"
Dances with Wolves,(1990),181 min,8.0,"Adventure, Drama, Western","237,247"
Hunt for the Wilderpeople,(2016),101 min,7.9,"Adventure, Comedy, Drama","107,831"
Minority Report,(2002),145 min,7.6,"Action, Crime, Mystery","503,235"
Coraline,(2009),100 min,7.7,"Animation, Drama, Family","195,024"
Remember the Titans,(2000),113 min,7.8,"Biography, Drama, Sport","195,996"
Inside Man,(2006),129 min,7.6,"Crime, Drama, Mystery","334,347"
Capharnaüm,(2018),126 min,8.4,Drama,"57,986"
Manchester by the Sea,(2016),137 min,7.8,Drama,"242,404"
Saw,(2004),103 min,7.6,"Horror, Mystery","375,753"
Shaun of the Dead,(2004),99 min,7.9,"Comedy, Horror","507,252"
Incredibles 2,(2018),118 min,7.6,"Animation, Action, Adventure","243,806"
The Bourne Ultimatum,(2007),115 min,8.0,"Action, Mystery, Thriller","600,702"
The Theory of Everything,(2014),123 min,7.7,"Biography, Drama, Romance","397,623"
Before Sunrise,(1995),101 min,8.1,"Drama, Romance","267,095"
The Lives of Others,(2006),137 min,8.4,"Drama, Mystery, Thriller","353,896"
Zombieland,(2009),88 min,7.6,"Adventure, Comedy, Fantasy","515,406"
Back to the Future Part II,(1989),108 min,7.8,"Adventure, Comedy, Sci-Fi","474,761"
Unforgiven,(1992),130 min,8.2,"Drama, Western","371,360"
The Blind Side,(2009),129 min,7.6,"Biography, Drama, Sport","289,062"
Sherlock Holmes,(2009),128 min,7.6,"Action, Adventure, Mystery","578,151"
La vie d'Adèle,(2013),180 min,7.7,"Drama, Romance","136,905"
Cast Away,(2000),143 min,7.8,"Adventure, Drama, Romance","516,324"
The Godfather: Part III,(1990),162 min,7.6,"Crime, Drama","353,963"
L.A. Confidential,(1997),138 min,8.2,"Crime, Drama, Mystery","526,281"
Star Trek Into Darkness,(2013),132 min,7.7,"Action, Adventure, Sci-Fi","460,528"
The Royal Tenenbaums,(2001),110 min,7.6,"Comedy, Drama","263,658"
"Monsters, Inc.",(2001),92 min,8.0,"Animation, Adventure, Comedy","804,272"
The Pursuit of Happyness,(2006),117 min,8.0,"Biography, Drama","442,306"
X-Men: Days of Future Past,(2014),132 min,7.9,"Action, Adventure, Sci-Fi","654,561"
District 9,(2009),112 min,7.9,"Action, Sci-Fi, Thriller","634,031"
Amélie,(2001),122 min,8.3,"Comedy, Romance","696,337"
Papillon,(1973),151 min,8.0,"Biography, Crime, Drama","120,512"
Gran Torino,(2008),116 min,8.1,Drama,"713,475"
Black Hawk Down,(2001),144 min,7.7,"Drama, History, War","360,908"
Twelve Monkeys,(1995),129 min,8.0,"Mystery, Sci-Fi, Thriller","572,695"
The Blues Brothers,(1980),133 min,7.9,"Action, Adventure, Comedy","180,823"
What's Eating Gilbert Grape,(1993),118 min,7.8,Drama,"212,261"
Once Upon a Time in the West,(1968),165 min,8.5,Western,"299,019"
Captain America: The Winter Soldier,(2014),136 min,7.7,"Action, Adventure, Sci-Fi","726,426"
Serenity,(2005),119 min,7.8,"Action, Adventure, Sci-Fi","281,433"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min,8.4,Comedy,"445,472"
Incendies,(2010),131 min,8.3,"Drama, Mystery, War","146,046"
Amadeus,(1984),160 min,8.3,"Biography, Drama, History","364,785"
Gone with the Wind,(1939),238 min,8.1,"Drama, History, Romance","286,638"
Hauru no ugoku shiro,(2004),119 min,8.2,"Animation, Adventure, Family","326,067"
Slumdog Millionaire,(2008),120 min,8.0,"Drama, Romance","791,695"
Young Frankenstein,(1974),106 min,8.0,Comedy,"142,016"
Shrek,(2001),90 min,7.8,"Animation, Adventure, Comedy","606,382"
Kick-Ass,(2010),117 min,7.6,"Action, Comedy, Crime","520,947"
Magnolia,(1999),188 min,8.0,Drama,"286,904"
Mystic River,(2003),138 min,7.9,"Crime, Drama, Mystery","414,938"
The Right Stuff,(1983),193 min,7.8,"Adventure, Biography, Drama","55,591"
The Magnificent Seven,(1960),128 min,7.7,"Action, Adventure, Western","86,726"
Sleepers,(1996),147 min,7.6,"Crime, Drama, Thriller","185,037"
First Blood,(1982),93 min,7.7,"Action, Adventure","223,735"
Walk the Line,(2005),136 min,7.8,"Biography, Drama, Music","231,680"
Freaks,(1932),64 min,7.9,"Drama, Horror","41,739"
Finding Nemo,(2003),100 min,8.1,"Animation, Adventure, Comedy","937,629"
"Lock, Stock and Two Smoking Barrels",(1998),107 min,8.2,"Action, Comedy, Crime","529,440"
Taken,(I) (2008),90 min,7.8,"Action, Thriller","561,108"
"O Brother, Where Art Thou?",(2000),107 min,7.7,"Adventure, Comedy, Crime","282,206"
Moonrise Kingdom,(2012),94 min,7.8,"Comedy, Drama, Romance","315,000"
The Others,(2001),101 min,7.6,"Horror, Mystery, Thriller","334,007"
Primal Fear,(1996),129 min,7.7,"Crime, Drama, Mystery","185,824"
Deliverance,(1972),109 min,7.7,"Adventure, Drama, Thriller","97,810"
Crash,(I) (2004),112 min,7.7,"Crime, Drama, Thriller","417,079"
Who Framed Roger Rabbit,(1988),104 min,7.7,"Animation, Adventure, Comedy","180,172"
A Few Good Men,(1992),138 min,7.7,"Drama, Thriller","232,256"
Willy Wonka & the Chocolate Factory,(1971),100 min,7.8,"Family, Fantasy, Musical","176,127"
3 Idiots,(2009),170 min,8.4,"Comedy, Drama","337,831"
Shichinin no samurai,(1954),207 min,8.6,"Action, Adventure, Drama","311,762"
Being John Malkovich,(1999),113 min,7.7,"Comedy, Drama, Fantasy","309,162"
The Game,(1997),129 min,7.8,"Action, Drama, Mystery","340,471"
Up,(2009),96 min,8.2,"Animation, Adventure, Comedy","922,028"
"Planes, Trains and Automobiles",(1987),93 min,7.6,"Comedy, Drama","120,739"
JFK,(1991),189 min,8.0,"Drama, History, Thriller","140,260"
Enemy at the Gates,(2001),131 min,7.6,"Drama, History, War","240,849"
Training Day,(2001),122 min,7.7,"Crime, Drama, Thriller","385,286"
Rear Window,(1954),112 min,8.4,"Mystery, Thriller","438,033"
Rosemary's Baby,(1968),137 min,8.0,"Drama, Horror","191,125"
Office Space,(1999),89 min,7.7,Comedy,"239,336"
The Butterfly Effect,(2004),113 min,7.6,"Drama, Sci-Fi, Thriller","447,523"
Midnight in Paris,(2011),96 min,7.7,"Comedy, Fantasy, Romance","383,839"
The Fugitive,(1993),130 min,7.8,"Action, Crime, Drama","264,472"
Blood Diamond,(2006),143 min,8.0,"Adventure, Drama, Thriller","493,822"
The Warriors,(1979),92 min,7.6,"Action, Crime, Thriller","92,760"
The Count of Monte Cristo,(2002),131 min,7.8,"Action, Adventure, Drama","127,854"
